Transaction Amount,Carbon Volume,Price per Ton,Origin Country,Cross-Border Flag,Buyer Industry,Sudden Transaction Spike,Transaction Hour,Entity Type,Label,company id,nama perusahaan,Nama Perusahaan,Sektor Perusahaan,Alamat,Kontak,NPWP,Situs Web
316674.57,989671.72,0.32,Cayman Islands,True,Holding Company,True,4,Foundation,Red-Flag,CAY-FOUNDATION-HOLDING_COMPANY-001,Foundation Holding Company Cayman Islands 001,PT Sejahtera Agro 127,Agrikultur,"Jl. Kebon Jeruk No. 37, Medan, Sumatera Utara",0812-127-1027,37.289.181.0-235.397,https://www.sejahtera-agro-127.co.id
285337.42,1519487.93,0.19,UAE,True,Luxury Goods,True,3,Foundation,Red-Flag,UAE-FOUNDATION-LUXURY_GOODS-127,Foundation Luxury Goods UAE 127,PT Cahaya Mineral 128,Pertambangan,"Jl. Cendana No. 38, Balikpapan, Kalimantan Timur",0812-128-1028,38.296.184.1-240.408,https://www.cahaya-mineral-128.co.id
706902.87,2019726.62,0.35,Cayman Islands,True,Real Estate,True,5,Individual,Red-Flag,CAY-INDIVIDUAL-REAL_ESTATE-007,Individual Real Estate Cayman Islands 007,PT Mekar Elektrik 129,Jasa,"Jl. Melati No. 39, Batam, Kepulauan Riau",0812-129-1029,39.303.187.2-245.419,https://www.mekar-elektrik-129.co.id
26269.61,1776.5,14.79,Indonesia,False,Manufacturing,False,9,PT,Normal,IDN-PT-MANUFACTURING-047,PT Manufacturing Indonesia 047,PT Nusantara Energi 130,Energi,"Jl. Merdeka No. 40, Jakarta Pusat, DKI Jakarta",0812-130-1030,40.310.190.3-250.430,https://www.nusantara-energi-130.co.id
25822.83,1417.94,18.21,Indonesia,False,Energy,False,17,Ltd.,Normal,IDN-LTD-ENERGY-038,Ltd. Energy Indonesia 038,PT Satria Digital 131,Manufaktur,"Jl. Sudirman No. 41, Bandung, Jawa Barat",0812-131-1031,41.317.193.4-255.441,https://www.satria-digital-131.co.id
24608.5,1585.16,15.52,USA,False,Forestry,False,12,CV,Normal,USA-CV-FORESTRY-155,CV Forestry USA 155,PT Bumi Manufaktur 132,Teknologi,"Jl. Thamrin No. 42, Surabaya, Jawa Timur",0812-132-1032,42.324.196.5-260.452,https://www.bumi-manufaktur-132.co.id
11040.66,979.26,11.27,Singapore,False,Energy,False,11,PT,Normal,SGP-PT-ENERGY-104,PT Energy Singapore 104,PT Arunika Kesehatan 133,Kesehatan,"Jl. Gatot Subroto No. 43, Yogyakarta, DI Yogyakarta",0812-133-1033,43.331.199.6-265.463,https://www.arunika-kesehatan-133.co.id
34180.6,2430.1,14.07,Indonesia,False,Forestry,False,14,CV,Normal,IDN-CV-FORESTRY-026,CV Forestry Indonesia 026,PT Mandiri Keuangan 134,Keuangan,"Jl. Diponegoro No. 44, Semarang, Jawa Tengah",0812-134-1034,44.338.202.7-270.474,https://www.mandiri-keuangan-134.co.id
94672.24,6944.49,13.63,Indonesia,False,Agriculture,False,10,PT,Normal,IDN-PT-AGRICULTURE-042,PT Agriculture Indonesia 042,PT Samudra Logistik 135,Transportasi,"Jl. Pahlawan No. 45, Denpasar, Bali",0812-135-1035,45.345.205.8-275.485,https://www.samudra-logistik-135.co.id
16467.53,976.94,16.86,UK,False,Manufacturing,False,13,PT,Normal,UK-PT-MANUFACTURING-147,PT Manufacturing UK 147,PT Garuda Teknologi 136,Telekomunikasi,"Jl. Asia Afrika No. 46, Makassar, Sulawesi Selatan",0812-136-1036,46.352.208.0-280.496,https://www.garuda-teknologi-136.co.id
6519.34,427.01,15.27,USA,True,Manufacturing,False,14,PT,Normal,USA-PT-MANUFACTURING-165,PT Manufacturing USA 165,PT Sejahtera Agro 137,Agrikultur,"Jl. Kebon Jeruk No. 47, Medan, Sumatera Utara",0812-137-1037,47.359.211.1-285.507,https://www.sejahtera-agro-137.co.id
1676167.52,10292630.98,0.16,Cayman Islands,True,Holding Company,True,1,Individual,Red-Flag,CAY-INDIVIDUAL-HOLDING_COMPANY-005,Individual Holding Company Cayman Islands 005,PT Cahaya Mineral 138,Pertambangan,"Jl. Cendana No. 48, Balikpapan, Kalimantan Timur",0812-138-1038,48.366.214.2-290.518,https://www.cahaya-mineral-138.co.id
9266.78,569.04,16.28,Indonesia,False,Energy,False,17,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Mekar Elektrik 139,Jasa,"Jl. Melati No. 49, Batam, Kepulauan Riau",0812-139-1039,49.373.217.3-295.529,https://www.mekar-elektrik-139.co.id
11481.69,632.91,18.14,Indonesia,False,Technology,False,12,PT,Normal,IDN-PT-TECHNOLOGY-049,PT Technology Indonesia 049,PT Nusantara Energi 140,Energi,"Jl. Merdeka No. 50, Jakarta Pusat, DKI Jakarta",0812-140-1040,50.380.220.4-300.540,https://www.nusantara-energi-140.co.id
4289.23,252.33,17.0,USA,False,Forestry,False,9,PT,Normal,USA-PT-FORESTRY-164,PT Forestry USA 164,PT Satria Digital 141,Manufaktur,"Jl. Sudirman No. 51, Bandung, Jawa Barat",0812-141-1041,51.387.223.5-305.551,https://www.satria-digital-141.co.id
37075.56,2420.54,15.32,Indonesia,False,Forestry,False,13,CV,Normal,IDN-CV-FORESTRY-026,CV Forestry Indonesia 026,PT Bumi Manufaktur 142,Teknologi,"Jl. Thamrin No. 52, Surabaya, Jawa Timur",0812-142-1042,52.394.226.6-310.562,https://www.bumi-manufaktur-142.co.id
3599290.66,13934244.36,0.26,Panama,True,Holding Company,True,3,LLC,Red-Flag,PAN-LLC-HOLDING_COMPANY-082,LLC Holding Company Panama 082,PT Arunika Kesehatan 143,Kesehatan,"Jl. Gatot Subroto No. 53, Yogyakarta, DI Yogyakarta",0812-143-1043,53.401.229.7-315.573,https://www.arunika-kesehatan-143.co.id
5277.99,291.14,18.13,Indonesia,False,Forestry,False,11,PT,Normal,IDN-PT-FORESTRY-045,PT Forestry Indonesia 045,PT Mandiri Keuangan 144,Keuangan,"Jl. Diponegoro No. 54, Semarang, Jawa Tengah",0812-144-1044,54.408.232.8-320.584,https://www.mandiri-keuangan-144.co.id
16885.36,1390.15,12.15,Indonesia,False,Manufacturing,False,12,PT,Normal,IDN-PT-MANUFACTURING-047,PT Manufacturing Indonesia 047,PT Samudra Logistik 145,Transportasi,"Jl. Pahlawan No. 55, Denpasar, Bali",0812-145-1045,55.415.235.0-325.595,https://www.samudra-logistik-145.co.id
15481.3,39174.6,0.4,Panama,True,Luxury Goods,True,0,Foundation,Red-Flag,PAN-FOUNDATION-LUXURY_GOODS-076,Foundation Luxury Goods Panama 076,PT Garuda Teknologi 146,Telekomunikasi,"Jl. Asia Afrika No. 56, Makassar, Sulawesi Selatan",0812-146-1046,56.422.238.1-330.606,https://www.garuda-teknologi-146.co.id
108625.15,10534.27,10.31,Indonesia,False,Energy,False,14,Ltd.,Normal,IDN-LTD-ENERGY-038,Ltd. Energy Indonesia 038,PT Sejahtera Agro 147,Agrikultur,"Jl. Kebon Jeruk No. 57, Medan, Sumatera Utara",0812-147-1047,57.429.241.2-335.617,https://www.sejahtera-agro-147.co.id
5192.21,386.58,13.43,Indonesia,False,Manufacturing,False,11,Ltd.,Normal,IDN-LTD-MANUFACTURING-040,Ltd. Manufacturing Indonesia 040,PT Cahaya Mineral 148,Pertambangan,"Jl. Cendana No. 58, Balikpapan, Kalimantan Timur",0812-148-1048,58.436.244.3-340.628,https://www.cahaya-mineral-148.co.id
71702.01,3187.75,22.49,Singapore,True,Holding Company,True,6,PT,Suspicious,SGP-PT-HOLDING_COMPANY-106,PT Holding Company Singapore 106,PT Mekar Elektrik 149,Jasa,"Jl. Melati No. 59, Batam, Kepulauan Riau",0812-149-1049,59.443.247.4-345.639,https://www.mekar-elektrik-149.co.id
11696.75,615.54,19.0,Indonesia,False,Energy,False,11,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Nusantara Energi 150,Energi,"Jl. Merdeka No. 60, Jakarta Pusat, DKI Jakarta",0812-150-1050,60.450.250.5-350.650,https://www.nusantara-energi-150.co.id
400513.7,22768.43,17.59,China,True,Technology,True,6,Individual,Suspicious,CHN-INDIVIDUAL-TECHNOLOGY-018,Individual Technology China 018,PT Satria Digital 151,Manufaktur,"Jl. Sudirman No. 61, Bandung, Jawa Barat",0812-151-1051,61.457.253.6-355.661,https://www.satria-digital-151.co.id
34002.89,2194.33,15.5,UK,False,Technology,False,11,PT,Normal,UK-PT-TECHNOLOGY-148,PT Technology UK 148,PT Bumi Manufaktur 152,Teknologi,"Jl. Thamrin No. 62, Surabaya, Jawa Timur",0812-152-1052,62.464.256.7-360.672,https://www.bumi-manufaktur-152.co.id
15231.68,1316.66,11.57,Indonesia,False,Technology,False,13,PT,Normal,IDN-PT-TECHNOLOGY-049,PT Technology Indonesia 049,PT Arunika Kesehatan 153,Kesehatan,"Jl. Gatot Subroto No. 63, Yogyakarta, DI Yogyakarta",0812-153-1053,63.471.259.8-365.683,https://www.arunika-kesehatan-153.co.id
8672.93,673.78,12.87,USA,False,Manufacturing,False,17,PT,Normal,USA-PT-MANUFACTURING-165,PT Manufacturing USA 165,PT Mandiri Keuangan 154,Keuangan,"Jl. Diponegoro No. 64, Semarang, Jawa Tengah",0812-154-1054,64.478.262.0-370.694,https://www.mandiri-keuangan-154.co.id
20316.94,1302.89,15.59,Singapore,False,Technology,False,11,Ltd.,Normal,SGP-LTD-TECHNOLOGY-101,Ltd. Technology Singapore 101,PT Samudra Logistik 155,Transportasi,"Jl. Pahlawan No. 65, Denpasar, Bali",0812-155-1055,65.485.265.1-375.705,https://www.samudra-logistik-155.co.id
28681.04,1944.46,14.75,Indonesia,False,Agriculture,False,13,PT,Normal,IDN-PT-AGRICULTURE-042,PT Agriculture Indonesia 042,PT Garuda Teknologi 156,Telekomunikasi,"Jl. Asia Afrika No. 66, Makassar, Sulawesi Selatan",0812-156-1056,66.492.268.2-380.716,https://www.garuda-teknologi-156.co.id
23678.94,2132.69,11.1,Malaysia,True,Energy,False,17,PT,Normal,MYS-PT-ENERGY-068,PT Energy Malaysia 068,PT Sejahtera Agro 157,Agrikultur,"Jl. Kebon Jeruk No. 67, Medan, Sumatera Utara",0812-157-1057,67.499.271.3-385.727,https://www.sejahtera-agro-157.co.id
28363.7,1469.44,19.3,USA,False,Forestry,False,13,PT,Normal,USA-PT-FORESTRY-164,PT Forestry USA 164,PT Cahaya Mineral 158,Pertambangan,"Jl. Cendana No. 68, Balikpapan, Kalimantan Timur",0812-158-1058,68.506.274.4-390.738,https://www.cahaya-mineral-158.co.id
4638.02,192.63,24.08,Singapore,True,Real Estate,False,8,Individual,Suspicious,SGP-INDIVIDUAL-REAL_ESTATE-096,Individual Real Estate Singapore 096,PT Mekar Elektrik 159,Jasa,"Jl. Melati No. 69, Batam, Kepulauan Riau",0812-159-1059,69.513.277.5-395.749,https://www.mekar-elektrik-159.co.id
3824.6,330.09,11.59,Indonesia,False,Manufacturing,False,15,PT,Normal,IDN-PT-MANUFACTURING-047,PT Manufacturing Indonesia 047,PT Nusantara Energi 160,Energi,"Jl. Merdeka No. 70, Jakarta Pusat, DKI Jakarta",0812-160-1060,70.520.280.6-400.760,https://www.nusantara-energi-160.co.id
17338.07,1384.42,12.52,Malaysia,False,Forestry,False,11,Ltd.,Normal,MYS-LTD-FORESTRY-064,Ltd. Forestry Malaysia 064,PT Satria Digital 161,Manufaktur,"Jl. Sudirman No. 71, Bandung, Jawa Barat",0812-161-1061,71.527.283.7-405.771,https://www.satria-digital-161.co.id
32046.99,2749.17,11.66,Indonesia,False,Energy,False,12,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Bumi Manufaktur 162,Teknologi,"Jl. Thamrin No. 72, Surabaya, Jawa Timur",0812-162-1062,72.534.286.8-410.782,https://www.bumi-manufaktur-162.co.id
85704.46,5633.81,15.21,Malaysia,False,Energy,False,12,CV,Normal,MYS-CV-ENERGY-058,CV Energy Malaysia 058,PT Arunika Kesehatan 163,Kesehatan,"Jl. Gatot Subroto No. 73, Yogyakarta, DI Yogyakarta",0812-163-1063,73.541.289.0-415.793,https://www.arunika-kesehatan-163.co.id
7911.59,458.77,17.25,Indonesia,False,Technology,False,17,PT,Normal,IDN-PT-TECHNOLOGY-049,PT Technology Indonesia 049,PT Mandiri Keuangan 164,Keuangan,"Jl. Diponegoro No. 74, Semarang, Jawa Tengah",0812-164-1064,74.548.292.1-420.804,https://www.mandiri-keuangan-164.co.id
38842.41,2820.58,13.77,USA,True,Manufacturing,False,11,PT,Normal,USA-PT-MANUFACTURING-165,PT Manufacturing USA 165,PT Samudra Logistik 165,Transportasi,"Jl. Pahlawan No. 75, Denpasar, Bali",0812-165-1065,75.555.295.2-425.815,https://www.samudra-logistik-165.co.id
12071.91,665.59,18.14,Singapore,True,Energy,False,17,PT,Normal,SGP-PT-ENERGY-104,PT Energy Singapore 104,PT Garuda Teknologi 166,Telekomunikasi,"Jl. Asia Afrika No. 76, Makassar, Sulawesi Selatan",0812-166-1066,76.562.298.3-430.826,https://www.garuda-teknologi-166.co.id
19837.79,1610.39,12.32,Indonesia,False,Technology,True,20,Foundation,Suspicious,IDN-FOUNDATION-TECHNOLOGY-032,Foundation Technology Indonesia 032,PT Sejahtera Agro 167,Agrikultur,"Jl. Kebon Jeruk No. 77, Medan, Sumatera Utara",0812-167-1067,77.569.301.4-435.837,https://www.sejahtera-agro-167.co.id
132102.33,8268.63,15.98,Singapore,False,Energy,False,9,PT,Normal,SGP-PT-ENERGY-104,PT Energy Singapore 104,PT Cahaya Mineral 168,Pertambangan,"Jl. Cendana No. 78, Balikpapan, Kalimantan Timur",0812-168-1068,78.576.304.5-440.848,https://www.cahaya-mineral-168.co.id
35241.06,2245.08,15.7,Indonesia,False,Energy,False,15,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Mekar Elektrik 169,Jasa,"Jl. Melati No. 79, Batam, Kepulauan Riau",0812-169-1069,79.583.307.6-445.859,https://www.mekar-elektrik-169.co.id
23957.91,1878.13,12.76,Indonesia,False,Manufacturing,False,17,PT,Normal,IDN-PT-MANUFACTURING-047,PT Manufacturing Indonesia 047,PT Nusantara Energi 170,Energi,"Jl. Merdeka No. 80, Jakarta Pusat, DKI Jakarta",0812-170-1070,80.590.310.7-450.870,https://www.nusantara-energi-170.co.id
8485.18,442.58,19.17,Indonesia,False,Energy,False,12,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Satria Digital 171,Manufaktur,"Jl. Sudirman No. 81, Bandung, Jawa Barat",0812-171-1071,81.597.313.8-455.881,https://www.satria-digital-171.co.id
11046.65,703.16,15.71,Indonesia,False,Technology,False,14,PT,Normal,IDN-PT-TECHNOLOGY-049,PT Technology Indonesia 049,PT Bumi Manufaktur 172,Teknologi,"Jl. Thamrin No. 82, Surabaya, Jawa Timur",0812-172-1072,82.604.316.0-460.892,https://www.bumi-manufaktur-172.co.id
4000.43,206.46,19.38,UAE,False,Technology,True,7,PT,Suspicious,UAE-PT-TECHNOLOGY-140,PT Technology UAE 140,PT Arunika Kesehatan 173,Kesehatan,"Jl. Gatot Subroto No. 83, Yogyakarta, DI Yogyakarta",0812-173-1073,83.611.319.1-465.903,https://www.arunika-kesehatan-173.co.id
37980.06,1993.32,19.05,Singapore,False,Energy,False,13,PT,Normal,SGP-PT-ENERGY-104,PT Energy Singapore 104,PT Mandiri Keuangan 174,Keuangan,"Jl. Diponegoro No. 84, Semarang, Jawa Tengah",0812-174-1074,84.618.322.2-470.914,https://www.mandiri-keuangan-174.co.id
27055.57,1552.91,17.42,Indonesia,False,Energy,False,16,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Samudra Logistik 175,Transportasi,"Jl. Pahlawan No. 85, Denpasar, Bali",0812-175-1075,85.625.325.3-475.925,https://www.samudra-logistik-175.co.id
146541.13,7336.72,19.97,Indonesia,False,Technology,False,11,CV,Normal,IDN-CV-TECHNOLOGY-028,CV Technology Indonesia 028,PT Garuda Teknologi 176,Telekomunikasi,"Jl. Asia Afrika No. 86, Makassar, Sulawesi Selatan",0812-176-1076,86.632.328.4-480.936,https://www.garuda-teknologi-176.co.id
16492.38,1214.15,13.58,UK,False,Technology,False,11,PT,Normal,UK-PT-TECHNOLOGY-148,PT Technology UK 148,PT Sejahtera Agro 177,Agrikultur,"Jl. Kebon Jeruk No. 87, Medan, Sumatera Utara",0812-177-1077,87.639.331.5-485.947,https://www.sejahtera-agro-177.co.id
30170.4,,16.06,Indonesia,False,,False,13,,Normal,IDN-UNKNOWN-UNKNOWN-056,Unknown Unknown Indonesia 056,PT Cahaya Mineral 178,Pertambangan,"Jl. Cendana No. 88, Balikpapan, Kalimantan Timur",0812-178-1078,88.646.334.6-490.958,https://www.cahaya-mineral-178.co.id
12593.49,732.79,17.19,Singapore,False,Energy,False,9,PT,Normal,SGP-PT-ENERGY-104,PT Energy Singapore 104,PT Mekar Elektrik 179,Jasa,"Jl. Melati No. 89, Batam, Kepulauan Riau",0812-179-1079,89.653.337.7-495.969,https://www.mekar-elektrik-179.co.id
52375.57,3708.21,14.12,USA,False,Energy,False,16,PT,Normal,USA-PT-ENERGY-163,PT Energy USA 163,PT Nusantara Energi 180,Energi,"Jl. Merdeka No. 90, Jakarta Pusat, DKI Jakarta",0812-180-1080,90.660.340.8-500.980,https://www.nusantara-energi-180.co.id
17031.79,1702.72,10.0,Malaysia,False,Energy,False,12,PT,Normal,MYS-PT-ENERGY-068,PT Energy Malaysia 068,PT Satria Digital 181,Manufaktur,"Jl. Sudirman No. 91, Bandung, Jawa Barat",0812-181-1081,91.667.343.0-505.991,https://www.satria-digital-181.co.id
14056.05,902.33,15.58,Indonesia,False,Energy,False,12,CV,Normal,IDN-CV-ENERGY-025,CV Energy Indonesia 025,PT Bumi Manufaktur 182,Teknologi,"Jl. Thamrin No. 92, Surabaya, Jawa Timur",0812-182-1082,92.674.346.1-510.102,https://www.bumi-manufaktur-182.co.id
14894.06,961.88,15.48,Malaysia,False,Forestry,False,16,PT,Normal,MYS-PT-FORESTRY-069,PT Forestry Malaysia 069,PT Arunika Kesehatan 183,Kesehatan,"Jl. Gatot Subroto No. 93, Yogyakarta, DI Yogyakarta",0812-183-1083,93.681.349.2-515.113,https://www.arunika-kesehatan-183.co.id
19652.55,,19.46,Indonesia,False,,False,14,,Normal,IDN-UNKNOWN-UNKNOWN-056,Unknown Unknown Indonesia 056,PT Mandiri Keuangan 184,Keuangan,"Jl. Diponegoro No. 94, Semarang, Jawa Tengah",0812-184-1084,94.688.352.3-520.124,https://www.mandiri-keuangan-184.co.id
269815.54,15845.6,17.03,UK,False,Technology,False,9,CV,Normal,UK-CV-TECHNOLOGY-143,CV Technology UK 143,PT Samudra Logistik 185,Transportasi,"Jl. Pahlawan No. 95, Denpasar, Bali",0812-185-1085,95.695.355.4-525.135,https://www.samudra-logistik-185.co.id
